"","Zone1","Zone2","Zone3","Zone4","Zone5","Zone6","Zone7","Zone8","Zone9","Zone10","Zone11","Zone12","Zone13","Zone14","Zone15"
"slot1",65,54,83,61,NA,116,84,117,99,98,63,54,99,54,52
"slot2",119,91,160,115,NA,170,202,217,189,185,125,98,222,83,115
"slot3",140,103,189,116,NA,170,161,227,173,184,114,96,226,97,89
"slot4",130,104,206,127,2,179,196,189,144,138,134,101,229,103,130
"slot5",125,103,172,137,NA,123,164,160,122,137,134,87,199,104,80
"slot6",77,75,116,87,6,118,99,132,104,108,81,64,128,73,56
