"","Zone1","Zone2","Zone3","Zone4","Zone5","Zone6","Zone7","Zone8","Zone9","Zone10","Zone11","Zone12","Zone13","Zone14","Zone15"
"slot1",66,62,94,68,Inf,126,80,131,123,106,73,62,119,57,62
"slot2",115,87,167,116,NA,173,164,193,170,172,117,100,188,81,88
"slot3",136,104,197,110,NA,166,146,202,163,178,110,93,237,98,93
"slot4",139,102,215,126,NA,192,203,191,145,157,142,100,253,107,128
"slot5",121,108,174,135,NA,117,181,159,123,137,135,95,207,119,82
"slot6",86,80,118,98,NA,124,102,134,105,116,98,74,154,83,66
