"","Zone1","Zone2","Zone3","Zone4","Zone5","Zone6","Zone7","Zone8","Zone9","Zone10","Zone11","Zone12","Zone13","Zone14","Zone15"
"slot1",79,71,124,77,NA,155,98,138,126,116,95,82,128,71,75
"slot2",89,60,115,75,NA,144,110,110,119,112,90,85,110,77,56
"slot3",107,64,141,86,NA,157,107,109,94,109,89,95,147,88,86
"slot4",145,88,166,110,NA,174,153,139,122,130,121,102,205,114,164
"slot5",132,87,147,106,NA,154,145,145,121,127,121,92,191,110,154
"slot6",85,72,115,84,NA,126,117,122,111,106,97,77,139,81,89
