"","Zone1","Zone2","Zone3","Zone4","Zone5","Zone6","Zone7","Zone8","Zone9","Zone10","Zone11","Zone12","Zone13","Zone14","Zone15"
"slot1",72,66,105,70,NA,142,90,134,113,112,79,70,110,66,73
"slot2",85,64,119,78,NA,144,114,127,94,113,86,88,112,76,113
"slot3",134,73,170,99,NA,163,118,120,109,124,96,103,171,97,118
"slot4",152,93,175,115,NA,173,148,150,130,135,130,106,192,120,156
"slot5",136,95,155,123,NA,169,146,151,130,142,140,100,183,123,131
"slot6",106,84,145,100,NA,157,113,140,125,130,101,89,173,93,109
