"","Zone1","Zone2","Zone3","Zone4","Zone5","Zone6","Zone7","Zone8","Zone9","Zone10","Zone11","Zone12","Zone13","Zone14","Zone15"
"slot1",67,55,88,61,NA,114,84,123,105,101,72,61,95,62,93
"slot2",128,90,175,118,NA,181,149,201,198,200,120,106,241,83,73
"slot3",139,96,187,107,NA,160,175,199,157,167,116,96,208,97,89
"slot4",133,94,206,112,NA,163,200,160,130,137,124,90,237,103,162
"slot5",114,86,163,117,NA,106,156,136,108,120,118,77,211,102,75
"slot6",72,67,97,74,NA,100,91,117,92,91,74,57,124,70,50
