"","Zone1","Zone2","Zone3","Zone4","Zone5","Zone6","Zone7","Zone8","Zone9","Zone10","Zone11","Zone12","Zone13","Zone14","Zone15"
"slot1",170,358,175,172,NA,754,60,162,91,293,57,316,50,466,12
"slot2",87,734,122,342,NA,232,40,230,104,254,110,248,74,268,18
"slot3",258,2451,226,900,NA,478,112,1004,364,679,312,740,136,478,58
"slot4",358,2344,208,842,1,334,132,867,322,565,310,724,130,646,56
"slot5",648,3256,322,918,NA,713,200,1482,560,907,346,1114,180,1043,106
"slot6",612,1968,364,603,1,1466,176,1056,511,1113,204,1032,170,966,60
