"","Zone1","Zone2","Zone3","Zone4","Zone5","Zone6","Zone7","Zone8","Zone9","Zone10","Zone11","Zone12","Zone13","Zone14","Zone15"
"slot1",144,270,114,146,NA,436,52,122,62,192,50,250,40,410,10
"slot2",76,728,111,332,NA,200,40,219,102,237,112,233,68,260,19
"slot3",250,2390,210,890,NA,472,112,955,348,642,310,692,128,481,64
"slot4",330,2124,189,790,NA,306,122,810,289,516,264,668,122,626,50
"slot5",602,2960,264,830,NA,612,178,1344,485,790,296,942,149,944,94
"slot6",510,1573,279,461,NA,1026,146,796,398,896,166,803,132,830,48
