"","Zone1","Zone2","Zone3","Zone4","Zone5","Zone6","Zone7","Zone8","Zone9","Zone10","Zone11","Zone12","Zone13","Zone14","Zone15"
"slot1",217,490,240,214,1,1252,74,220,124,368,79,408,61,549,13
"slot2",89,742,146,358,NA,282,45,220,107,262,125,266,78,306,21
"slot3",256,2447,250,908,NA,510,108,984,364,708,322,722,138,483,62
"slot4",382,2335,244,866,NA,385,136,786,316,588,320,748,142,698,56
"slot5",719,3333,436,1070,NA,918,234,1553,664,1169,448,1330,230,1331,101
"slot6",661,2554,588,836,NA,1981,199,1324,782,1640,278,1432,247,1272,58
