"","Zone1","Zone2","Zone3","Zone4","Zone5","Zone6","Zone7","Zone8","Zone9","Zone10","Zone11","Zone12","Zone13","Zone14","Zone15"
"slot1",146,304,148,167,NA,556,50,115,66,225,73,354,54,542,8
"slot2",80,696,126,346,NA,242,42,203,100,230,111,266,78,350,20
"slot3",264,2284,218,882,NA,455,108,888,340,625,314,719,126,514,61
"slot4",328,1980,186,724,NA,306,118,766,284,488,265,618,117,654,45
"slot5",554,2718,258,805,NA,570,164,1194,443,771,292,906,157,934,84
"slot6",443,1352,259,428,NA,816,134,665,342,772,146,702,126,775,48
