"","Zone1","Zone2","Zone3","Zone4","Zone5","Zone6","Zone7","Zone8","Zone9","Zone10","Zone11","Zone12","Zone13","Zone14","Zone15"
"slot1",376,1188,806,486,NA,3519,115,552,600,1168,220,1232,178,1226,35
"slot2",105,348,308,218,NA,738,44,86,74,241,88,384,56,602,11
"slot3",160,1394,226,574,NA,350,54,482,236,543,130,480,114,443,21
"slot4",355,2048,298,678,NA,632,85,959,476,896,203,826,184,866,34
"slot5",488,2252,356,707,NA,1027,118,1108,585,1138,250,1120,214,1171,45
"slot6",350,1462,359,498,NA,1144,122,594,376,873,192,891,158,990,27
