"","Zone1","Zone2","Zone3","Zone4","Zone5","Zone6","Zone7","Zone8","Zone9","Zone10","Zone11","Zone12","Zone13","Zone14","Zone15"
"slot1",145,296,143,142,NA,528,56,138,75,241,52,268,47,446,10
"slot2",80,709,109,328,NA,204,36,222,102,235,103,235,66,254,19
"slot3",254,2365,210,908,NA,495,105,976,362,659,320,722,132,470,64
"slot4",345,2231,202,848,NA,332,122,840,312,546,306,686,128,642,54
"slot5",639,3121,310,901,NA,695,174,1434,541,907,349,1022,168,1002,93
"slot6",532,1714,319,538,1,1208,152,912,478,1026,181,892,148,873,56
