"","Zone1","Zone2","Zone3","Zone4","Zone5","Zone6","Zone7","Zone8","Zone9","Zone10","Zone11","Zone12","Zone13","Zone14","Zone15"
"slot1",21,47,17,21,NA,54,8,14,8,27,8,45,5,66,2
"slot2",8,80,9,34,NA,16,3,16,8,18,10,27,5,32,3
"slot3",24,248,16,95,NA,39,10,64,30,50,33,84,9,53,9
"slot4",31,227,15,81,NA,26,10,61,28,46,28,77,9,67,6
"slot5",59,329,25,82,NA,71,15,115,53,80,33,124,12,101,13
"slot6",66,225,34,65,0,118,18,82,50,105,23,132,14,112,10
