"","Zone1","Zone2","Zone3","Zone4","Zone5","Zone6","Zone7","Zone8","Zone9","Zone10","Zone11","Zone12","Zone13","Zone14","Zone15"
"slot1",50,156,74,56,NA,262,16,44,43,96,23,148,16,143,4
"slot2",13,57,24,28,NA,55,5,9,8,23,11,45,6,69,1
"slot3",21,211,18,82,NA,32,8,59,33,59,23,69,10,59,3
"slot4",33,253,22,86,NA,50,10,88,45,82,27,102,13,87,4
"slot5",53,313,34,92,NA,99,15,123,72,120,31,143,17,127,5
"slot6",59,302,56,96,NA,190,18,111,87,159,34,181,21,157,5
