"","Zone1","Zone2","Zone3","Zone4","Zone5","Zone6","Zone7","Zone8","Zone9","Zone10","Zone11","Zone12","Zone13","Zone14","Zone15"
"slot1",24,56,21,25,NA,73,8,16,10,32,8,51,6,69,2
"slot2",9,82,10,35,NA,18,3,16,8,19,11,29,5,33,2
"slot3",24,249,17,91,NA,37,10,65,29,50,31,85,9,53,8
"slot4",33,242,15,80,2,25,10,63,28,48,28,80,9,67,6
"slot5",59,338,25,83,NA,69,17,117,53,77,32,130,13,104,15
"slot6",74,253,37,71,1,137,20,93,54,111,25,148,16,120,10
