"","Zone1","Zone2","Zone3","Zone4","Zone5","Zone6","Zone7","Zone8","Zone9","Zone10","Zone11","Zone12","Zone13","Zone14","Zone15"
"slot1",21,43,14,22,NA,46,7,12,7,21,7,41,4,62,2
"slot2",8,81,9,33,NA,15,4,16,8,18,11,26,5,32,3
"slot3",23,239,15,89,NA,38,10,63,27,47,31,80,8,52,8
"slot4",31,221,14,76,NA,25,10,60,27,45,25,76,8,65,5
"slot5",57,322,21,77,NA,64,15,114,51,71,28,115,11,96,13
"slot6",64,209,31,56,NA,103,18,74,43,94,21,120,13,106,8
