"","Zone1","Zone2","Zone3","Zone4","Zone5","Zone6","Zone7","Zone8","Zone9","Zone10","Zone11","Zone12","Zone13","Zone14","Zone15"
"slot1",9,8,10,9,NA,11,10,11,11,10,9,9,11,8,10
"slot2",13,10,13,12,NA,13,14,14,15,14,12,11,15,10,11
"slot3",13,11,14,12,NA,13,14,14,14,14,11,11,16,11,12
"slot4",12,10,15,12,NA,13,15,13,12,12,12,10,15,10,13
"slot5",11,10,13,12,NA,12,13,12,11,11,11,10,14,10,10
"slot6",9,9,11,10,NA,11,11,11,11,10,10,9,12,9,9
