"","Zone1","Zone2","Zone3","Zone4","Zone5","Zone6","Zone7","Zone8","Zone9","Zone10","Zone11","Zone12","Zone13","Zone14","Zone15"
"slot1",10,9,11,9,NA,12,11,12,11,11,10,9,11,9,10
"slot2",11,9,12,10,NA,12,13,12,11,12,11,11,12,10,11
"slot3",13,9,14,11,NA,12,13,11,12,12,11,11,14,10,14
"slot4",13,10,14,11,NA,13,14,12,12,12,12,11,14,11,16
"slot5",12,10,13,12,NA,13,14,12,12,12,12,11,13,11,13
"slot6",11,10,12,11,NA,12,12,12,12,12,11,10,13,10,12
