"","Zone1","Zone2","Zone3","Zone4","Zone5","Zone6","Zone7","Zone8","Zone9","Zone10","Zone11","Zone12","Zone13","Zone14","Zone15"
"slot1",7.61666666666667,7.1,9.75,7.55,NA,11.8166666666667,8.08333333333333,11.3333333333333,10.0666666666667,10.2166666666667,7.96666666666667,7.41666666666667,10.0166666666667,7.55,6.79166666666666
"slot2",8.21666666666667,7.04166666666666,9.95,7.83333333333333,NA,11.9833333333333,8.275,10.3583333333333,9.025,10,8.08333333333333,8.15,10.0833333333333,7.95,7.51666666666667
"slot3",10.1333333333333,7.83333333333333,12.325,8.95,NA,12.9,9.58333333333333,10.7166666666667,9.58333333333333,10.7833333333333,8.61666666666667,9.18333333333333,12.75,9.2,9.56666666666667
"slot4",11.75,8.91666666666667,12.8916666666667,10.1166666666667,NA,13.3333333333333,10.8,12.35,11.15,11.7,10.6833333333333,9.75,13.7333333333333,11.0333333333333,10.45
"slot5",11.1833333333333,9.16666666666667,12.275,10.5333333333333,NA,13.3833333333333,10.95,12.3666666666667,10.9833333333333,11.9166666666667,11.2833333333333,9.36666666666667,13.4833333333333,11.2333333333333,9.63333333333333
"slot6",9.76666666666667,8.3,11.6,9.25,NA,12.6833333333333,9.13333333333333,11.85,10.6666666666667,11.2333333333333,9.61666666666667,8.85,12.7666666666667,9.33333333333333,8.45
