"","Zone1","Zone2","Zone3","Zone4","Zone5","Zone6","Zone7","Zone8","Zone9","Zone10","Zone11","Zone12","Zone13","Zone14","Zone15"
"slot1",7.11666666666667,6.45,8.26666666666667,6.91666666666667,NA,10.2833333333333,7.43333333333334,10.3,9.00833333333333,9.1,6.76666666666667,6.25,8.91666666666667,6.76666666666667,5.45
"slot2",9.55,8.93333333333333,12.4666666666667,9.8,NA,13.2,11.7166666666667,14.75,12.35,13.2333333333333,10.0166666666667,8.69166666666666,14.35,8.23333333333333,7.7
"slot3",10.6166666666667,9.85,13.5833333333333,9.86666666666667,NA,12.9666666666667,10.95,15.45,12.65,13.575,10,8.7,15.35,8.98333333333333,7.58333333333333
"slot4",10.95,9.68333333333333,13.8,10.5166666666667,0.466666666666667,13.3666666666667,12.5833333333333,13.8166666666667,11.4166666666667,11.8333333333333,10.95,9.1,15.05,9.63333333333333,9.45
"slot5",11.0333333333333,9.63333333333333,12.7166666666667,11.0833333333333,NA,10.35,12.0666666666667,12.6333333333333,10.5333333333333,11.7333333333333,10.75,8.55,13.6583333333333,10.0333333333333,7.3
"slot6",8.26666666666667,7.78333333333333,9.71666666666667,8.45,1.28333333333333,10.7,8.65833333333333,11.4,9.43333333333333,9.99166666666667,8.08333333333333,6.98333333333333,10.5666666666667,8.01666666666667,5.9
