"","Zone1","Zone2","Zone3","Zone4","Zone5","Zone6","Zone7","Zone8","Zone9","Zone10","Zone11","Zone12","Zone13","Zone14","Zone15"
"slot1",7.48333333333333,6.53333333333333,8.71666666666667,6.88333333333333,NA,10.2333333333333,7.66666666666667,10.55,9.3,9.23333333333333,7.66666666666667,6.81666666666667,8.9,7.18333333333333,7.03333333333333
"slot2",10.3166666666667,8.83333333333333,12.75,9.75,NA,13.25,11.325,13.75,13.125,13.4666666666667,9.71666666666667,9.03333333333333,14.9,8.2,7.65
"slot3",10.625,9.31666666666667,13.55,9.5,NA,12.6583333333333,11.6,14.0333333333333,11.75,12.7166666666667,10,8.7,14.225,9.2,7.73333333333333
"slot4",10.9666666666667,9.13333333333333,13.8166666666667,9.85,NA,12.55,12.5083333333334,12.55,10.5666666666667,11.15,10.6166666666667,8.75,14.5666666666667,9.9,10.0583333333334
"slot5",10.4666666666667,8.78333333333333,12.4166666666667,10.3,NA,9.43333333333333,11.9583333333333,11.3666666666667,9.76666666666667,10.6166666666667,10.5,7.96666666666667,13.6666666666667,10.0166666666667,7.13333333333333
"slot6",7.76666666666667,7.4,9.16666666666667,7.91666666666667,NA,9.36666666666667,8.3,10.45,9.11666666666667,9.15,7.85,6.61666666666667,10.4833333333333,7.85,5.7
