"","Zone1","Zone2","Zone3","Zone4","Zone5","Zone6","Zone7","Zone8","Zone9","Zone10","Zone11","Zone12","Zone13","Zone14","Zone15"
"slot1",7,6.28333333333333,8.01666666666667,6.76666666666667,NA,9.55,7.51666666666667,10.0666666666667,8.76666666666667,8.99166666666667,6.86666666666667,6.06666666666667,8.89166666666667,6.63333333333333,5.76666666666667
"slot2",10.05,9,12.6333333333333,9.91666666666667,NA,13.1666666666667,10.8,13.75,12.4166666666667,13.1166666666667,10.15,8.85,14.7833333333333,8.23333333333333,7.48333333333333
"slot3",10.8333333333333,10.0166666666667,13.55,10.0166666666667,NA,12.2666666666667,11.5166666666667,15.1166666666667,12.85,13.55,10.0333333333333,8.61666666666667,15.3166666666667,9.2,7.6
"slot4",10.75,9.61666666666667,13.9666666666667,10.3833333333333,NA,12.4166666666667,12.2166666666667,13.4,10.8,11.35,10.6833333333333,8.78333333333333,14.75,9.7,9.33333333333333
"slot5",10.5333333333333,9.2,12.7083333333333,10.7666666666667,NA,9.6,11.9333333333333,11.8333333333333,9.55,11.1166666666667,10.4333333333333,8.16666666666667,13.6333333333333,9.81666666666667,7.1
"slot6",7.95,7.53333333333333,9.13333333333333,8.2,NA,9.96666666666667,8.33333333333333,10.8,9.28333333333333,9.51666666666667,8,6.71666666666667,10.4916666666666,7.85,5.76666666666667
