"","Zone1","Zone2","Zone3","Zone4","Zone5","Zone6","Zone7","Zone8","Zone9","Zone10","Zone11","Zone12","Zone13","Zone14","Zone15"
"slot1",6.96666666666667,6.28333333333333,8.38333333333333,6.88333333333333,NA,9.76666666666667,7.26666666666667,10.0666666666667,9.06666666666667,9.05,6.9,5.98333333333333,8.95,6.75,5.65
"slot2",9.81666666666667,8.91666666666667,12.7333333333333,9.65,NA,13.05,10.4916666666666,14,12.9333333333333,12.7333333333333,10.2083333333333,8.85833333333333,14.05,8.05,7.48333333333334
"slot3",10.6166666666667,9.53333333333333,13.5,9.6,NA,12.7916666666667,10.8833333333333,15.3333333333333,12.2,13.1,9.78333333333333,8.56666666666667,14.6166666666666,8.83333333333333,7.48333333333333
"slot4",11.15,9.81666666666667,13.4083333333333,10.4833333333333,NA,13.0166666666667,12.8166666666667,13.8666666666667,11.0333333333333,11.75,10.9,8.88333333333333,15.05,9.63333333333333,9.11666666666667
"slot5",10.8666666666667,9.48333333333333,12.4166666666667,11,NA,9.73333333333333,11.95,12.4166666666667,10.25,11.35,10.5833333333333,8.23333333333333,13.65,9.93333333333333,6.95
"slot6",8.01666666666667,7.61666666666667,9.4,8.28333333333333,6.31666666666667,10.2666666666667,8.35,11.1333333333333,9.48333333333333,9.75,8.03333333333333,6.76666666666667,10.3166666666667,7.8,5.68333333333333
