"","Zone1","Zone2","Zone3","Zone4","Zone5","Zone6","Zone7","Zone8","Zone9","Zone10","Zone11","Zone12","Zone13","Zone14","Zone15"
"slot1",7.18333333333333,6.98333333333333,9.38333333333333,7.71666666666667,7.18333333333333,11.1166666666667,7.55,11.2,10,9.83333333333333,8.05,6.95,9.74166666666667,7.06666666666667,6.43333333333334
"slot2",9.28333333333333,8.76666666666667,12.2833333333333,9.71666666666667,NA,13.0333333333333,11.15,13.4166666666667,12.1333333333333,12.4166666666667,9.95,8.91666666666667,13.85,8.25833333333333,7.78333333333333
"slot3",10.5333333333333,9.75,13.8833333333333,9.675,NA,13.1833333333333,10.9333333333333,14.45,12.4416666666666,13.4833333333333,9.8,8.51666666666667,15.4666666666667,9.03333333333333,7.40833333333333
"slot4",11.2666666666667,9.6,14.5833333333333,10.5833333333333,NA,13.9166666666667,13.1916666666666,13.75,11.35,12.4166666666667,11.5083333333334,9.16666666666667,16.075,9.95,8.78333333333333
"slot5",10.6666666666667,9.98333333333333,12.85,11.25,NA,10.15,12.8,12.5666666666667,10.55,11.7,11.4666666666667,9.11666666666667,14.25,10.9333333333333,7.18333333333333
"slot6",8.76666666666667,8.10833333333333,10.5333333333333,8.88333333333333,NA,10.9,8.91666666666667,11.6166666666667,9.83333333333333,10.55,9.2,7.9,11.7333333333333,8.65,6.8
