"","Zone1","Zone2","Zone3","Zone4","Zone5","Zone6","Zone7","Zone8","Zone9","Zone10","Zone11","Zone12","Zone13","Zone14","Zone15"
"slot1",7.95,7.3,10.4416666666666,7.85,NA,12.5166666666667,8.50833333333333,11.6166666666667,10.5333333333333,10.45,8.71666666666667,8.13333333333333,10.4166666666667,7.85,7.43333333333333
"slot2",7.9,6.68333333333333,9.96666666666667,7.61666666666667,NA,11.6666666666667,8.25,9.9,9.675,10.2,8.35,8.05,9.88333333333333,8.06666666666667,7.03333333333333
"slot3",9.25,7.08333333333333,11.3833333333333,8.3,NA,12.5166666666667,8.70833333333334,9.81666666666667,9.13333333333333,9.98333333333333,8.25833333333333,8.9,11.7166666666667,8.7,8.325
"slot4",11.6833333333333,8.66666666666667,12.55,9.58333333333333,NA,13.45,10.5833333333333,11.6666666666667,10.4833333333333,11.1666666666667,10.2166666666667,9.16666666666667,13.7833333333333,10.7,10.775
"slot5",11.0333333333333,8.71666666666667,11.6666666666667,9.61666666666667,NA,12.45,10.4083333333333,11.8166666666667,10.6,11,10.4166666666667,9.01666666666667,13.4333333333333,10.5833333333333,10.0666666666667
"slot6",8.71666666666667,7.8,10.4333333333333,8.46666666666667,NA,11.2,9.06666666666667,10.9333333333333,9.95,10.0333333333333,9.1,7.91666666666667,11.2,8.5,8.2
